region,Resource,technology,cluster,R_ID,Zone,Num_VRE_Bins,CapRes_1,THERM,VRE,MUST_RUN,STOR,FLEX,HYDRO,ESR_1,ESR_2,MinCapTag_1,MinCapTag_2,Min_Share,Max_Share,Existing_Cap_MWh,Existing_Cap_MW,Existing_Charge_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Min_Cap_MWh,Max_Charge_Cap_MW,Min_Charge_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,capex_mwh,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Ratio_power_to_energy,Min_Duration,Max_Duration,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Flexible_Demand_Energy_Eff,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,NACC_Eff,NACC_Peak_to_Base,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,spur_miles,spur_capex,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,Hydro_level
USA_Single,USA_Single_biomass_1.0,biomass,1.0,1,1,0,0.9,1,0,1,0,0,0,1,1,0,0,0,0,0.0,1066.53,0.0,1461.0,3174.753,-1,0.73,0,0.0,-1.0,-1.0,0,0,0,0,0.0,0,122976,0.0,0,0,5.16,0,0,0,0.0,0.0,14.72,1.565,2.973,None,0.425,0.0,1.0,1.0,0.0,0,0.0,0.0,0,0,0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
USA_Single,USA_Single_conventional_hydroelectric_1.0,conventional_hydroelectric,1.0,2,1,0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,71031.744,0.0,1422.0,71031.744,-1,49.952,0,0.0,-1.0,-1.0,0,0,0,0,0.0,0,46475,0.0,0,0,0.0,0,0,0,0.0,0.0,9.1,0.0,0.242,None,0.263,0.0,1.0,1.0,158.73,0,0.0,0.0,0,0,0,0.083,0.083,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.5
USA_Single,USA_Single_conventional_steam_coal_1.0,conventional_steam_coal,1.0,3,1,0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0.0,11477.992,0.0,17.0,11477.992,0,675.176,0,0.0,-1.0,-1.0,0,0,0,0,0.0,0,56848,0.0,0,0,1.86,0,0,0,122.0,0.0,9.72,0.425,0.442,west_north_central_coal,0.492,0.0,1.0,1.0,0.0,0,0.0,0.0,0,0,0,0.57,0.57,24.0,24.0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
USA_Single,USA_Single_conventional_steam_coal_2.0,conventional_steam_coal,2.0,4,1,0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1737.0,0.0,12.0,1737.0,0,144.75,0,0.0,-1.0,-1.0,0,0,0,0,0.0,0,75816,0.0,0,0,1.86,0,0,0,122.0,0.0,12.08,0.539,0.364,west_north_central_coal,0.538,0.0,1.0,1.0,0.0,0,0.0,0.0,0,0,0,0.57,0.57,24.0,24.0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
USA_Single,USA_Single_conventional_steam_coal_3.0,conventional_steam_coal,3.0,5,1,0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0.0,260.0,0.0,1.0,260.0,0,260.0,0,0.0,-1.0,-1.0,0,0,0,0,0.0,0,75691,0.0,0,0,1.86,0,0,0,122.0,0.0,29.88,0.0,0.0,west_north_central_coal,0.077,0.0,1.0,1.0,0.0,0,0.0,0.0,0,0,0,0.57,0.57,24.0,24.0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
USA_Single,USA_Single_conventional_steam_coal_4.0,conventional_steam_coal,4.0,6,1,0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0.0,7756.2,0.0,12.0,7756.2,0,646.35,0,0.0,-1.0,-1.0,0,0,0,0,0.0,0,64413,0.0,0,0,1.86,0,0,0,122.0,0.0,10.29,0.548,0.406,west_north_central_coal,0.385,0.0,1.0,1.0,0.0,0,0.0,0.0,0,0,0,0.57,0.57,24.0,24.0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
USA_Single,USA_Single_conventional_steam_coal_5.0,conventional_steam_coal,5.0,7,1,0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0.0,815.004,0.0,9.0,815.004,0,90.556,0,0.0,-1.0,-1.0,0,0,0,0,0.0,0,74883,0.0,0,0,1.86,0,0,0,122.0,0.0,15.92,0.518,0.507,west_north_central_coal,0.411,0.0,1.0,1.0,0.0,0,0.0,0.0,0,0,0,0.57,0.57,24.0,24.0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
USA_Single,USA_Single_conventional_steam_coal_6.0,conventional_steam_coal,6.0,8,1,0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0.0,11064.6,0.0,18.0,11064.6,0,614.7,0,0.0,-1.0,-1.0,0,0,0,0,0.0,0,60054,0.0,0,0,1.86,0,0,0,122.0,0.0,10.24,0.429,0.341,west_north_central_coal,0.371,0.0,1.0,1.0,0.0,0,0.0,0.0,0,0,0,0.57,0.57,24.0,24.0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
USA_Single,USA_Single_conventional_steam_coal_7.0,conventional_steam_coal,7.0,9,1,0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0.0,18.8,0.0,1.0,18.8,0,18.8,0,0.0,-1.0,-1.0,0,0,0,0,0.0,0,74531,0.0,0,0,1.86,0,0,0,122.0,0.0,22.51,0.0,0.0,west_north_central_coal,0.532,0.0,1.0,1.0,0.0,0,0.0,0.0,0,0,0,0.57,0.57,24.0,24.0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
USA_Single,USA_Single_conventional_steam_coal_8.0,conventional_steam_coal,8.0,10,1,0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0.0,59.0,0.0,2.0,59.0,0,29.5,0,0.0,-1.0,-1.0,0,0,0,0,0.0,0,69966,0.0,0,0,1.86,0,0,0,122.0,0.0,26.64,0.57,0.806,west_north_central_coal,0.254,0.0,1.0,1.0,0.0,0,0.0,0.0,0,0,0,0.57,0.57,24.0,24.0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
